Designator,Mid X,Mid Y,Rotation,Layer
BATT_1,125.25,-140.75,180.0,top
BT1,174.4,-127.2,0.0,top
C1,124.95,-78.89,180.0,top
C10,104.858015,-80.7,0.0,top
C11,114.45,-69.890003,90.0,top
C12,113.240844,-69.890003,90.0,top
C13,108.5,-109.5,270.0,bottom
C14,105.9,-109.5,270.0,bottom
C15,153.2325,-61.3,0.0,top
C16,144.8,-61.3,0.0,top
C17,153.2325,-62.5,0.0,top
C18,189.39,-109.52,270.0,bottom
C19,192.1,-109.5,270.0,bottom
C2,124.95,-80.09,180.0,top
C20,144.8,-62.5,0.0,top
C3,117.465367,-89.700712,90.0,top
C4,116.265367,-89.700712,90.0,top
C5,122.7,-75.9,315.0,top
C6,121.2,-74.4,135.0,top
C7,116.85,-69.890003,90.0,top
C8,115.718635,-69.890003,90.0,top
C9,104.858015,-79.442696,0.0,top
CR1,172.399999,-80.514998,0.0,top
CR10,127.5,-96.5,270.0,top
CR2,172.4,-76.5,0.0,top
CR3,172.4,-78.5,0.0,top
CR4,104.858015,-81.937304,180.0,top
CR5,128.5,-108.5,180.0,top
CR6,122.75,-115.5,0.0,top
CR7,127.5,-102.55,90.0,top
CR8,127.5,-105.5,90.0,top
CR9,128.5,-111.0,0.0,top
D1,127.655254,-57.852148,33.0,top
D10,178.1,-63.0,327.0,top
D11,180.7,-64.7,327.0,top
D12,189.28,-80.5,180.0,top
D13,165.2,-143.2,90.0,top
D14,131.5,-108.5,90.0,top
D2,125.077632,-59.526069,33.0,top
D3,122.5,-61.2,33.0,top
D4,119.922377,-62.873938,33.0,top
D5,117.344752,-64.547866,33.0,top
D6,149.0,-49.3,180.0,top
D7,170.2,-57.8,327.0,top
D8,172.8,-59.5,327.0,top
D9,175.5,-61.3,327.0,top
DC-DC1,122.5,-111.5,0.0,top
DEIXAME_QUE_PENSE_1,115.1,-80.1,135.0,top
ESC1,149.0,-123.335061,0.0,top
IC1,107.2246,-109.5,180.0,top
IC2,190.7,-109.6,180.0,top
J1,149.0,-55.139,0.0,bottom
J_ENC_1,113.0,-134.304237,0.0,top
J_ENC_1_CONN1,107.2246,-115.651,0.0,top
J_ENC_2,184.9,-134.295763,180.0,top
J_ENC_2_CONN1,190.7,-115.651,0.0,top
J_ESC1,149.0,-144.5035,0.0,top
L1,122.5,-104.5,90.0,top
MODULO_START_STOP1,180.5,-80.3873,90.0,top
MOTOR_1,170.4,-86.0,0.0,top
PIN_AUXILIAR1,186.0,-143.711344,270.0,top
R1,129.729823,-61.037711,33.0,top
R10,170.9,-62.9,327.0,top
R11,173.6,-64.6,327.0,top
R12,176.2,-66.3,327.0,top
R13,178.8,-68.0,327.0,top
R14,102.4,-87.0,270.0,top
R15,177.247508,-88.299995,90.0,top
R16,167.4,-143.2,90.0,top
R17,124.95,-81.29,0.0,top
R18,179.365005,-88.299995,270.0,top
R19,183.6,-88.299995,270.0,top
R2,127.153007,-62.711118,33.0,top
R20,181.482502,-88.299995,270.0,top
R23,118.5,-125.0,270.0,top
R24,116.0,-125.0,270.0,top
R25,104.858015,-78.2,180.0,top
R28,128.5,-113.5,180.0,top
R29,128.5,-109.75,0.0,top
R3,124.576197,-64.384517,33.0,top
R30,128.5,-112.25,0.0,top
R4,121.999384,-66.057927,33.0,top
R5,119.422566,-67.731332,33.0,top
R6,115.1,-89.7,270.0,top
R7,113.915367,-89.710712,270.0,top
R8,112.8,-89.730712,270.0,top
R9,168.3,-61.2,327.0,top
SW1,189.3,-75.6,90.0,top
SW2,189.3,-85.4,90.0,top
SW3,193.7,-80.5,0.0,top
SW4,104.858015,-86.79,0.0,top
U1,149.0,-61.91,0.0,top
U2,122.5,-95.5,270.0,top
USB1,174.39999,-141.459997,0.0,top
Y1,123.65,-73.49,315.0,top
