Designator,Mid X,Mid Y,Rotation,Layer
C1,159.156722,-121.359031,45.0,top
C2,160.889131,-123.091441,45.0,top
C3,162.68784,-117.827913,45.0,top
C4,164.464443,-119.516129,45.0,top
J1,173.517696,-123.986999,135.0,bottom
MUX1,108.633942,-73.098991,148.0,top
MUX2,114.997905,-65.179391,135.0,top
MUX3,122.917498,-58.815431,122.0,top
R1,87.27932,-117.222454,186.0,top
R10,93.077595,-83.705596,157.0,top
R11,91.380538,-87.948236,158.0,top
R12,93.57257,-82.644933,155.0,top
R13,98.310187,-73.523257,147.0,top
R14,96.047442,-77.483055,150.0,top
R15,98.946582,-72.604016,145.0,top
R16,104.956989,-64.330866,141.0,top
R17,102.199271,-67.937112,140.0,top
R18,105.734805,-63.41163,136.0,top
R19,113.018006,-56.269849,132.0,top
R2,87.703582,-121.747938,183.0,top
R20,109.694604,-59.310408,132.0,top
R21,113.937245,-55.492034,128.0,top
R22,122.139683,-49.410915,124.0,top
R23,118.462729,-51.956498,124.0,top
R24,123.200343,-48.774519,119.0,top
R25,132.180601,-44.036902,114.0,top
R26,128.150091,-45.94609,115.0,top
R27,133.31197,-43.612638,111.0,top
R28,142.999333,-40.289239,106.0,top
R29,138.615272,-41.562029,106.0,top
R3,87.208609,-116.020373,180.0,top
R30,144.130705,-40.006397,102.0,top
R31,154.171621,-38.167915,95.0,top
R32,149.716848,-38.804314,96.0,top
R33,155.373703,-38.097205,93.0,top
R34,165.62675,-37.885073,87.0,top
R35,161.101267,-37.743651,90.0,top
R36,166.828832,-37.955783,85.0,top
R4,87.562163,-105.767324,177.0,top
R5,87.208608,-110.363521,175.0,top
R6,87.632872,-104.706664,172.0,top
R7,89.400639,-94.453617,166.0,top
R8,88.481402,-99.049811,167.0,top
R9,89.683483,-93.463666,162.0,top
S1,87.560067,-119.508751,184.527,top
S10,100.022255,-70.6311,145.0,top
S11,103.401353,-66.02125,141.0,top
S12,107.123231,-61.683411,136.262,top
S13,111.166037,-57.64305,132.0,top
S14,115.506114,-53.923808,128.5,top
S15,120.118009,-50.547501,123.5,top
S16,124.974688,-47.533917,119.5,top
S17,130.047684,-44.900722,114.5,top
S18,135.307264,-42.663349,111.0,top
S19,140.722597,-40.834912,106.0,top
S2,87.236346,-113.802243,180.14,top
S20,146.261942,-39.42613,102.0,top
S21,151.892831,-38.445258,97.0,top
S22,157.582258,-37.898047,92.387,top
S23,163.296875,-37.787707,87.999,top
S24,169.003186,-38.114879,83.611,top
S3,87.350144,-108.087693,176.0,top
S4,87.900797,-102.398599,172.0,top
S5,88.887987,-96.769387,167.0,top
S6,90.297206,-91.229812,163.0,top
S7,92.128918,-85.815586,158.0,top
S8,94.369472,-80.55736,154.0,top
S9,97.005727,-75.485971,150.0,top
